dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,sgc,edge_adder,0.0,5.0,0.8972634331579286,0.0008123861892415451,0.7976212655160477,0.006252209711200579,0.03507390662337922,0.005197944492417417,0.023974681613665803,0.005655882125689813
bail,sgc,edge_adder,0.0,10.0,0.8906242060102917,0.013933469178088393,0.7925964421295341,0.01824421747318164,0.03177558856429706,0.00730591554048739,0.02494852436513383,0.004083436053021484
bail,sgc,edge_adder,0.1,0.0,0.8908133190529981,0.0016152661625590194,0.803607363591982,0.0059497225071173205,0.07116227250375984,0.002273579221044295,0.04746511095859072,0.004302504842379072
bail,sgc,edge_adder,0.5,0.0,0.8910463406831909,0.0009071043849830379,0.7996876860562663,0.004004266161867104,0.07232538252725354,0.0011585740120830656,0.04446045908640282,0.0023410178463943235
bail,sgc,edge_adder,1.0,0.0,0.8909099466438917,0.0016081310628907886,0.7996850036131442,0.007037717703072163,0.07292670731812523,0.0025021906913810336,0.04316937390375962,0.005124948472221186
bail,sgc,edge_adder,5.0,0.0,0.8897443697520151,0.0011685101650180756,0.8002358008839654,0.005848936310754985,0.0775180767671307,0.0025451151278221445,0.04484252268740944,0.0053747730045244696
bail,sgc,edge_adder,10.0,0.0,0.8889230017479253,0.0017982346826359967,0.8058983155346715,0.007309338617198728,0.07886181068171949,0.0025530456482109215,0.04631892015557082,0.0037384330496152305
german,gat,vanilla,0.0,0.0,0.5788761904761904,0.03096618124587501,0.6407708408570562,0.08316293511524686,0.051977632296781213,0.05006906358832457,0.055882352941176466,0.04995805386910069
german,gat,edge_adder,0.0,0.1,0.5684914285714286,0.027945241953610037,0.6587483467440169,0.06037789154881753,0.07099018003273319,0.05216918227204361,0.08056722689075631,0.056263802847925655
german,gat,edge_adder,0.0,0.5,0.5711961904761905,0.0368678835586644,0.6396092497970767,0.11075371848315263,0.07906437534097106,0.05322543749998811,0.07699579831932774,0.049443557377543745
german,gat,edge_adder,0.0,1.0,0.5731771428571428,0.02992433911810465,0.6275752291755409,0.10198235117434905,0.07519094380796507,0.044765378982316605,0.06880252100840337,0.030296018833337143
german,gat,edge_adder,0.0,5.0,0.5365828571428571,0.03938249546121773,0.5147353349845871,0.28931930599726224,0.033674304418985265,0.03149571604842609,0.0421218487394958,0.043506800566138294
german,gat,edge_adder,0.0,10.0,0.5619085714285714,0.0416811086155287,0.6406767081676333,0.22676512993349515,0.055960174577195834,0.05739950803747157,0.05441176470588235,0.058556190222027495
german,gat,edge_adder,0.1,0.0,0.5744076190476191,0.029350682809875097,0.6508189823280855,0.07625030726357783,0.11736224768139665,0.08786809925847439,0.13350840336134454,0.08899538808866549
german,gat,edge_adder,0.5,0.0,0.5489333333333333,0.024952719735977104,0.6129681049168132,0.06014053644783187,0.09015275504637206,0.06519350037755406,0.08739495798319327,0.05648448270941385
german,gat,edge_adder,1.0,0.0,0.5658895238095238,0.029079256837671975,0.6008453082852564,0.1279380465026516,0.09271685761047463,0.05076434687280471,0.09758403361344536,0.06375012029021719
german,gat,edge_adder,5.0,0.0,0.5460190476190476,0.023580250778084785,0.6122135950769734,0.11279375215630744,0.09684942716857611,0.05182948750421625,0.11880252100840338,0.03849600033149535
german,gat,edge_adder,10.0,0.0,0.5473752380952381,0.0291597943934846,0.5188835047410678,0.23784021492071003,0.047081287506819405,0.04963425293086209,0.059138655462184865,0.053945084271712164
german,gcn,vanilla,0.0,0.0,0.7449980952380952,0.009467778798332268,0.7358944253522471,0.08156420621472851,0.32180851063829785,0.04253348273077957,0.259453781512605,0.03765430321204815
german,gcn,edge_adder,0.0,0.1,0.7023161904761905,0.08385080507133556,0.7109951002822459,0.14850454324656262,0.22525913802509545,0.1249035600590464,0.18508403361344536,0.10454694257486102
german,gcn,edge_adder,0.0,0.5,0.7210209523809524,0.04444730882379724,0.6621131522690881,0.25498708467731573,0.1737861429350791,0.08883599286903719,0.11775210084033612,0.07596426302620603
german,gcn,edge_adder,0.0,1.0,0.649112380952381,0.1156341539358618,0.6942992703890891,0.10259612585660137,0.11252045826513912,0.07882711119270003,0.08277310924369749,0.05677868384649685
german,gcn,edge_adder,0.0,5.0,0.6744609523809524,0.08334732499682868,0.7406845975064458,0.0779246470272783,0.052468630660120044,0.03533524274930261,0.01449579831932774,0.01522783216337828
german,gcn,edge_adder,0.0,10.0,0.6915657142857142,0.04916137325592276,0.7012843369299311,0.15148959238502893,0.03559738134206218,0.02840509763261839,0.010609243697478992,0.008513589041156363
german,gcn,edge_adder,0.1,0.0,0.7103771428571429,0.08529755746649824,0.7108294866020555,0.08976251875440003,0.2677032187670486,0.10165208152479954,0.22184873949579834,0.08270189531355497
